ID,Review,Hotel_name,Hotel_Address,sentiment,area,risk_type,Traveller_Suitability,Improvement_Area,Aspect,Source
215,"Good rooms, I wish they could include breakfast with booking very soon. Location is really nice. The twin tower is approx. 800m away from the location.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Location & Accessibility,agoda
216,All good,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Overall Experience,Overall Stay Experience,agoda
217,Best place to stay. Will repeat again for sure,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
218,early checkin and late checkouts and charged almost as much as the full day rent for 1 or 2 hours so plan accordingly,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Booking/Payment Risk,Leisure Travellers,"Check-in, Booking & Payment Process",Overall Stay Experience,agoda
219,Security lembab..,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Overall Experience,Safety & Security,agoda
220,Good hotel to stay. Convenient!,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
221,Good cleanliness rooms are spacious overall good,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
222,"SUPER SPACIOUS AND LUXURIOUS 3 BED ROOMS UNIT, STUNNING VIEW OF KL TOWER, SUCH AN EXPERIENCE, FULLY RECOMMENDED AND SATISFYING",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Room & Comfort,agoda
223,They charged for pillow case RM30 and pool access timing should be changed that restrictions are like normal hotel..Tourist will enjoy whenever they want..,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Room & Comfort,agoda
224,Everything was good,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Overall Experience,Overall Stay Experience,agoda
225,Best to stay,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
226,Sengnaja mencari kesalahaan untuk mencuri wang deposit pelanggan.,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Booking/Payment Risk,Leisure Travellers,"Check-in, Booking & Payment Process",Booking & Payment,agoda
227,Everything its good to stay,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Overall Experience,Overall Stay Experience,agoda
228,Best stay here,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
229,Had great family time and stunning city views and skyscrapers,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Family Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
230,Good,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
231,"We stayed at the 2bed room suite and had an extra ordinary hospitality which included all amenities, great location",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Room & Comfort,agoda
232,Excellent,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
233,Worst rules and penalties. Collected 200 MYR penalty for knocking at wrong door by mistake.,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",negative,klcc,Booking/Payment Risk,Leisure Travellers,"Check-in, Booking & Payment Process",Overall Stay Experience,agoda
234,The location is very close to town area. Very easy to go around.. and the location is very near to MRT/ LRT.,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Overall Experience,Location & Accessibility,agoda
235,A good place to live in center of the city and enjoy,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
236,Everything is either broken or unserviceable ... real nightmare,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",negative,klcc,Service/Staff Risk,Leisure Travellers,Staff Service,Overall Stay Experience,agoda
237,"Room service very bad, for each and every thing we need to what’s app them and need to wait. Even if we call them, they will ask to what’s app. Highly not recommended",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",negative,klcc,Service/Staff Risk,Leisure Travellers,Staff Service,Room & Comfort,agoda
238,Terbaikk,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Overall Experience,Overall Stay Experience,agoda
239,nice,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
240,"Service very poor, check in and check out super slow no Q ,. need 30 minutes to complete",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",negative,klcc,Booking/Payment Risk,Leisure Travellers,"Check-in, Booking & Payment Process",Staff & Service,agoda
241,1. Checkout procedure requires 30minutes 2. The environment during check in & check out messy. Probably due to many guest at that weekend.,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Booking/Payment Risk,Leisure Travellers,"Check-in, Booking & Payment Process",Staff & Service,agoda
242,For someone who want to feel luxurious stay. P/S later please approve my cashback rewards ya 😋,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Booking/Payment Risk,Leisure Travellers,"Check-in, Booking & Payment Process",Overall Stay Experience,agoda
243,Recomended,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Overall Experience,Overall Stay Experience,agoda
244,nice and glory,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Overall Experience,Overall Stay Experience,agoda
245,Great location but very poor service. It took more than 30 mins for check in. Only 2 counters opened to cater to very long queue. Only 1 free parking provided for our big group. The cleanliness inside the apartment is just average. The worst part is we were stuck at lift lobby prior to check out. Only 3 out of 4 lifts were operating and always full. We were stuck with other 3 families. Contacted the hotel staff via phone and the only solution they provided is for us to wait. So we waited from 11.45am till we managed to get into the lift around 2.00pm. Worst experience ever. Never coming back here.,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",negative,klcc,Booking/Payment Risk,Group Travellers,"Check-in, Booking & Payment Process",Staff & Service,agoda
246,性价比非常高的住宿，设施齐全，房间面积大,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Overall Experience,Overall Stay Experience,agoda
247,I like the room. Very nice and comfortable. The staff is friendly. Very recommended,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Room & Comfort,agoda
248,service dan bilik terbaik,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Overall Experience,Staff & Service,agoda
249,Uncomfortable bed un safe skydeck,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Noise/Comfort Risk,Leisure Travellers,Room Comfort & Noise Control,Room & Comfort,agoda
250,Very niceee will come again!!!,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
251,I enjoyed the stay here with my family,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Family Travellers,Overall Experience,Overall Stay Experience,agoda
252,I will not recommend your name to all families in gcc countries.,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
253,The apartment was in a brilliant location in central KL and the size of our 3 bed apartment was very comfortable for the 4 of us. The pool in the 51st floor provided wonderful views of the city. Would highly recommend.,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Room & Comfort,agoda
254,Rumah luas semua kelengkapan ada seperti rumah sendiri dan terasa kaya seketika,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Overall Experience,Overall Stay Experience,agoda
255,Place was clean and easy access to attractions. Receptionist was helpful and friendly. Overall wonderful experience !,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Location & Accessibility,agoda
256,best apartmnt i have ever stayed,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
257,Room is nice,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Room Comfort & Noise Control,Room & Comfort,agoda
258,With *** you can get much better then this hotel in Kuala Lumpur,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Overall Experience,Overall Stay Experience,agoda
259,"Good location, near all malls (pavillion, TRX , KLCC)..",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Overall Experience,Location & Accessibility,agoda
260,Facilities are good with beautiful view but swimming pool time must be increased in night…,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Facilities & Amenities,agoda
261,"Too much busy place, staffs are not so friendly, only good thing abt the place is it's spacious enough as I have booked 2 bedroom. Except that if you happen to smoke, don't ever book, since you have to go to parking for a smoke all the time, and lift you have to wait for you never know how much hectic will be. Simply everything here is waiting and not much of a friendly gesture. And if you happen to have business meeting you again have to go reception and bring them to your place as the lift needs access card for floor levels. I advise to go Sheraton which I did after a day, same price maybe little more but serene calm and friendly and they have all the amenities except the 51 floor swimming pool, which you never can use as hose place is crowded like a public toilet.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Business Travellers,No Major Improvement Needed,Facilities & Amenities,agoda
262,Good view,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Overall Experience,Overall Stay Experience,agoda
263,"We started at 46th floor and a wide room of 90m2. The reception is complicated, you have to call the company and go to the counter. The deposit is expensive at RM500. It is very inconvenient that the room cleaning is not done until 8pm. The view of the pool is different between the suite and the neighboring building, and you can't see the twin towers from the suite.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",negative,klcc,Booking/Payment Risk,Leisure Travellers,"Check-in, Booking & Payment Process",Room & Comfort,agoda
264,"They are charging *** and falsely alleging that we stole hotel property. They are demanding payment by deducting the amount from our deposit and refunding the remaining balance to the customers. This appears to be a scam by the hotel. I just checked Google reviews, and it seems they have done the same to other guests visiting here.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Booking/Payment Risk,Leisure Travellers,"Check-in, Booking & Payment Process",Booking & Payment,agoda
265,房間很棒，空間很大，廚房的鍋具不建議使用，因為刮痕很嚴重，泳池景觀很美。電梯要等很久，而且通風不良，很熱，且電梯會抖。但若只考慮房間的舒適度，絕對值得。,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Overall Experience,Overall Stay Experience,agoda
266,These suits are perfect for family. Even location is prime and centre with major connectivity. 5 to 10 minutes walking gives access to all facilities.,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Family Travellers,No Major Improvement Needed,Location & Accessibility,agoda
267,It was really nice stay here in this hotel,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Overall Experience,Overall Stay Experience,agoda
268,"Lift is absolutely too slow, everyone knew it i guess",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Overall Experience,Facilities & Amenities,agoda
269,"Thought it was a nice place from the pics provided. But when we entered the apartment, it was the total opposite. We instantly checked out and booked another hotel instead to stay. Wise move ever.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Overall Experience,Overall Stay Experience,agoda
270,I had an incredible days . Really satisfied the facility. Danny good !!! Definitely i will back,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Facilities & Amenities,agoda
271,Everthing good. Nice stay,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
272,"good view, nice environment, reasonable price, customer service is also very friendly",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Budget Travellers,No Major Improvement Needed,Staff & Service,agoda
273,Amazing wonderful stay. Kids friendly. Very Convenient. Recommended much.,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Family Travellers,No Major Improvement Needed,Location & Accessibility,agoda
274,veryyy goodd,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Overall Experience,Overall Stay Experience,agoda
275,Staff were rude with limited room service,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",negative,klcc,Service/Staff Risk,Leisure Travellers,Staff Service,Staff & Service,agoda
276,Good price and clean,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Budget Travellers,No Major Improvement Needed,Cleanliness,agoda
277,Good location and room for the price offered,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Budget Travellers,Room Comfort & Noise Control,Location & Accessibility,agoda
278,Very good place and good environment and we are enjoing platinum kuala lampur,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
279,"Bad experience for the carpark….the access card is working when we entry …n we want drive the car out the card totally not working….we stuck there over 30mins… then i call the staff asking why the card totally no working…the staff keep asking me that u go in basement by this card or TNG…I firm with her 100% by the card u give….n then tell us need to pay the card park for ourself first…. My friend heard this, very angry about it….why u should pay the carpark for outself first…this is ur problems not our problem…my fren ask the staff call Ur leader out…she say my leader is busy….no matter how my friend say again call ur leader out…then we wait about 10mins her leader come…she didn’t say anything with us…n then bring us to carpark…they take a lot of access card to scan….in starting they scan a lot of card almost the card cannot work…finally one card can working….that mean we wait for so long finally can go back home…too bad experience 🤨",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",negative,klcc,Service/Staff Risk,Business Travellers,Staff Service,Overall Stay Experience,agoda
280,Come here to stay over. Worth the money. Very spacious and very comfortable. Will be better if the tv change to smart TV. But all is well,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Budget Travellers,No Major Improvement Needed,Room & Comfort,agoda
281,gooddd,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Overall Experience,Overall Stay Experience,agoda
282,Al good staff friendly,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Staff & Service,agoda
283,"Fasilitas bagus tapi kamar yang kecil bau debu, sangat menganggu sekali baunya.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Overall Experience,Overall Stay Experience,agoda
284,"Overall okay but i don't like the towel because it’s smelly. Other than that, all clean and comfortable",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Cleanliness/Hygiene Risk,Leisure Travellers,Cleanliness,Room & Comfort,agoda
285,"Disappointed with the amenities. Only one TV in the living room—none in the master bedroom also. Only one mirror for all the 3 rooms and toiletries were very limited. Also, one of the front desk staff came across as a bit rude.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",negative,klcc,Service/Staff Risk,Leisure Travellers,Staff Service,Staff & Service,agoda
286,"Room is very spacious, bright white, simple, and has a lot of usage marks.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Room Comfort & Noise Control,Room & Comfort,agoda
287,backsheet ade kesan iron pihak hotel telah menuduh sy dan dikenakan caj sebanyak rm120.. mmg bangsat!!!!! sial!!!!,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Overall Experience,Overall Stay Experience,agoda
288,All things wer good but facilities wer zero ..fridg was empty even tea or coffee was not available and whole hitel is non smoking woth is cery awkward..only available thing was the fine list in apartment 🤭🤭very strick in check in and checkout,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Booking/Payment Risk,Leisure Travellers,"Check-in, Booking & Payment Process",Staff & Service,agoda
