No.,Sentence,Sentiment,Source,Location,Confidence,Positive Score,Negative Score,Reason / Notes,Aspect(s),Risk Type(s),Traveller Suitability,Hotel Improvement Insight
87,"Room 10 points, no complaints at all. Airbnb even thoughtfully provided a charger because Malaysia uses a 3-pin socket. Friendly staff, quick check-in and check-out.",Positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",High,6,0,"Positive indicators: friendly staff, friendly",Service,Service Risk,General traveller suitability,Improve front desk/staff service training
88,"Very good stay, provided us with amenities like iron, ironing board, microwave, kitchen utensils etc. apartment was super clean. Check in check out was automated and very easy to follow. Views from the apartment were also great. we went to Swimming pool and it was mentioned under maintenance. The lift can sometimes take some time. Everything else apart from these 2 was great!",Positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",High,8,2,"Positive indicators: good stay, clean, good; minor issue(s): under maintenance",Cleanliness; Service; Facilities; Accessibility,Facility/Maintenance Risk; Service Risk,General traveller suitability,Improve room facilities and maintenance; Improve front desk/staff service training
89,"First of all, the location is very strategic, near Bukit Bintang and with easy access to the MRT. The room was very clean and well-maintained. It even came with a water heater and Netflix, although the Netflix account had to be shared with other guests, so sometimes it wasn’t accessible. Stayed here for 3 nights and had a great experience overall. The facilities were amazing, especially the pool and gym, which were easily accessible. The stay was comfortable and convenient. Will definitely stay here again if I come back to Bukit Bintang in the future.",Positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",High,24.85,0,"Positive indicators: easy access, very clean, clean",Location; Cleanliness; Facilities; Comfort/Noise,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
90,"Strategy location , easy check in, lot of nice restaurants . Quite clean and with lot of facilities .",Positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",High,9,0,"Positive indicators: strategy location, clean, nice",Location; Cleanliness; Service,Service Risk,General traveller suitability,Improve front desk/staff service training
91,Best place to stay in KL. Walking Distance to all the best tourist attractions. Value for Money,Positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",High,15,0,"Positive indicators: walking distance, value for money, best",Location,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
92,"Cleanliness is superb, view is awesome, host is accommodating. Just perfect stay. We extended and didn't want to transfer hotel but we needed to go to other city. This place is awesome!",Positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",High,19.75,0,"Positive indicators: accommodating, perfect, awesome",Cleanliness,Cleanliness Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
93,Perfect for solo traveling,Positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",High,5,0,Positive indicators: perfect,General,No major risk detected,General traveller suitability,No major improvement issue detected
94,"We had a lovely stay here, the location is fantastic and just down the road from the local train and a great shopping centre! The pool area and gardens are lovely! The only thing that needs bit of attention is the smell in the drains although when communicated they resolved the issue as much as they could right away! Nice and quiet stay",Positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",High,7.7,0,"Positive indicators: fantastic, nice",Location; Cleanliness; Facilities,Cleanliness Risk; Noise Risk,Not suitable for light sleepers; Not ideal for cleanliness-sensitive guests,"Improve soundproofing / noise control; Improve room, linen and towel cleanliness"
95,"Can’t remember how many times I’ve stayed at NaiBnB however this was my first time staying in Block A. The layout looks more spacious. As usual, the design of the unit is always beautiful and clean.",Positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",High,13.5,0,"Positive indicators: beautiful, spacious, clean",Cleanliness,No major risk detected,General traveller suitability,No major improvement issue detected
96,I’ve been a loyal guest to NaiBnB. Easy check in process. Residence is walking distance to TRX MRT station and The Exchange Mall. Unit is clean and beautifully designed.,Positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",High,6,0,"Positive indicators: walking distance, clean",Location; Cleanliness; Service,Service Risk,Suitable for convenience-focused travellers,Improve front desk/staff service training
97,The staff her is very helpful they even try to use Chinese to communicate with me even though they are not very fluent with chinese. very friendly staff and helpful.,Positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",High,12.8,0,"Positive indicators: helpful, friendly staff, friendly",Service,No major risk detected,General traveller suitability,No major improvement issue detected
98,"This apartment is suitable for anyone who looking for a spacious place, walking distance to Bukit Bintang area, especially TRX Exchange. Alot of shopping, food area within a short walking distance. Its literally 5-10 minutes walk to TRX and Bukit Bintang areas, however, there is no dedicated area for pedestrian on the way to TRX. But to Bukit Bintang, it is convenience. We got 59th floor unit on our stay, just below the roof top 60th floor. Its so high that the wait and time at the elevator is not as convenient as you can take more than 10 mins just to wait for the lift and going down to the lobby. Would suggest communicate in advance to the guest to check their comfort level, or can also price it differently in the expense of convenience. In anyway, we don;t see any ""view"" or other value to stay in the high floor. The unit itself, marketed as japandi design, quite spacious living room, but very small - no window - second bedroom. On the day we arrived, it was heavy rain and there was water leakage from the window in the living room. Apartment facility is pretty complete, washing machine, full kitchen, large fridge, super high speed internet. However, during our stay, they washing machine was broken. On cleanliness, hope they can regularly replace the bed sheet (it was brown color bedsheet due to the japandi design), while it may be cleaned but can easily see stained on the brown color bedsheet. Last point, I think they need to better invest on the bed mattress on the main bedroom. I believe people come for the sleeping comfort. Can clearly say it was a cheap mattress, can feel the spring when you sleep on it. A decent mattress would definitely improve guest comfort.",Positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",High,25.88,14.85,"Positive indicators: walking distance, spacious, convenient; minor issue(s): very small, stained",Location; Cleanliness; Facilities; Comfort/Noise; Breakfast/Food; Accessibility,Cleanliness Risk; Facility/Maintenance Risk,Suitable for convenience-focused travellers; Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness; Improve room facilities and maintenance"
99,"We really didn’t expect much on the accommodation but we were surprised when we arrived to the unit. It was very spacious, clean. No hassle to check-in since it is a self checked-in and no need to go to a reception. The unit is also within the heart of the city, easily to go to places by just walking.",Positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",High,8.1,0,"Positive indicators: spacious, clean",Cleanliness; Service,Service Risk,General traveller suitability,Improve front desk/staff service training
100,"We had a great time in this apartment. The building is conveniently located close to the TRX mall and MRT. The building itself is clean and modern, with laundry facilities, lots of common areas, and a pool. The wait times for the elevator were not bad either. The NaiBnB staff were very kind and attentive, always available to answer questions and address concerns. Would definitely stay here again.",Positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",High,12,2.5,"Positive indicators: would definitely stay, close to, not bad; minor issue(s): bad",Location; Cleanliness; Service; Facilities; Accessibility,Facility/Maintenance Risk,Suitable for convenience-focused travellers,Improve room facilities and maintenance
101,We stayed here for 5 days and the stay was very pleasant. Best part of the room was the view. In one window i could see the petronas tower and the menara tower. Amazing.,Positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",High,9,0,"Positive indicators: amazing, best",Location,No major risk detected,General traveller suitability,No major improvement issue detected
102,"Good staff, good places, good facilities, near to mrt, easy going to go bukit bintang by walking. Cleanliness room,bed,toilet,kitchen,living room. Hope that it will stay the same when i come again.",Positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",High,8,0,"Positive indicators: near to, good",Location; Cleanliness; Service; Comfort/Noise,Cleanliness Risk,Suitable for convenience-focused travellers; Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
103,Apartment is clean and well furnished. I really enjoy staying there and will return if I come back to KL. The staff are very attentive and respond quickly with any minor complaint in the apt.,Positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",High,6,0,"Positive indicators: clean, enjoy",Cleanliness; Service,No major risk detected,General traveller suitability,No major improvement issue detected
104,"It was a really comfortable stay for 3 nights! There were plenty of good food nearby and shopping malls just 15min walk away is excellent! For facilities, we are so glad for the washing machine, refrigerator, microwave oven and glasses and bowls! You can sit by the bay window and enjoy your drink, its such a nice idea! As for the amenities, the pool don’t look as clean and gym is pretty small too. But that’s a small thing, the benefit and convenience of the location outweigh the state of the pool. For cleanliness, it was pretty clean with bath towels and blanket folded in a cute shape when we came in! Though have to admit that we did kill around 10+ drain flies over our 3 night stay and the main toilet shower clogs up pretty quickly when we shower. Aside from this, the stay is perfect!",Positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",High,28.8,0,"Positive indicators: comfortable, excellent, clean",Location; Cleanliness; Facilities; Comfort/Noise; Breakfast/Food,Cleanliness Risk; Facility/Maintenance Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness; Improve room facilities and maintenance"
105,The apartment was nice and clean. Getting the keys was easy. The elevator was a big problem. The card did not work well and it was very frustrating trying to go up and down. Also the apartment had no towels so we had to get them from the office. No dish towels either or paper towels for when we accidentally spilled something. The complex was confusing . The apartment was very comfortable for us otherwise.,Positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",High,8,0,"Positive indicators: comfortable, clean, nice",Cleanliness; Facilities; Comfort/Noise; Accessibility,Facility/Maintenance Risk,General traveller suitability,Improve room facilities and maintenance
106,"Convenient location, cosy apartment, but lacking the finishing touches - only two very thin towels provided, and you can only exchange them during the day; pool was not very clean; almost always a long wait for the elevator; not even basic tea and coffee-making facilities provided in the kitchenette.",Positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",High,12.45,1.35,"Positive indicators: convenient, very clean, clean; minor issue(s): can only",Location; Cleanliness; Facilities; Accessibility,Facility/Maintenance Risk,Suitable for convenience-focused travellers,Improve room facilities and maintenance
107,"The apartment is very nice, spacious, clean and modern style with kitchnette which is very convenient. Location wise is awesome within walking distance to shopping malls n restaurants nearby",Positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",High,23,0,"Positive indicators: walking distance, very convenient, convenient",Location; Cleanliness,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
108,Basic room and clean. Very central location is excellent Plenty of choices for food,Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,8,0,"Positive indicators: excellent, clean",Location; Cleanliness; Breakfast/Food,No major risk detected,General traveller suitability,No major improvement issue detected
109,"The location was unbeatable, offering excellent walkability to nearby areas.",Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,5,0,Positive indicators: excellent,Location,No major risk detected,General traveller suitability,No major improvement issue detected
110,"The closest point is near KL Sentral Station. There are direct buses from KLIA1 and KLIA2 to KL Sentral Station. The city bus and GoKL bus stops are also nearby. There are many places to eat cheaply in the area. It is a hotel where women can travel safely alone. Recently, a water server has also been installed. The hot water supply, quantity, and temperature in the shower are perfect. And the rates are economical.",Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,5,0,Positive indicators: perfect,Location; Facilities,Facility/Maintenance Risk,General traveller suitability,Improve room facilities and maintenance
111,Excellence location,Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,5,0,Positive indicators: excellence location,Location,No major risk detected,General traveller suitability,No major improvement issue detected
112,"Value staying, strategy location.",Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,7,0,"Positive indicators: strategy location, value staying",Location,No major risk detected,General traveller suitability,No major improvement issue detected
113,Good stay condition,Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,5,0,"Positive indicators: good stay, good",General,No major risk detected,General traveller suitability,No major improvement issue detected
114,"This property offers excellent value and a prime location with easy access to major public transport. the staff is friendly. Housekeeping was satisfactory, cleanliness could be improved for an even better experience.",Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,14,0,"Positive indicators: prime location, easy access, excellent",Location; Cleanliness; Service,Cleanliness Risk,Suitable for convenience-focused travellers; Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
115,good location,Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,5,0,"Positive indicators: good location, good",Location,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
116,"Located at Center of city, easy to get all facilities.",Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,6,0,"Positive indicators: center of city, easy to get",Location,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
117,Value for money and near to malls and public transport.,Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,6,0,"Positive indicators: value for money, near to",Location,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
118,"the hotel is very clean, very cheap for a high hospitality given by the staff. highly recommended to people for first timer.",Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,13,0,"Positive indicators: recommended, very clean, clean",Cleanliness; Service,No major risk detected,General traveller suitability,No major improvement issue detected
119,"My stay at this hotel was very pleasant. The room was clean and well-maintained. The bed was comfortable, and the calm atmosphere made it easy to relax and rest. Facilities such as the air conditioning, bathroom, and basic amenities were all in good condition. Highly suitable for both vacation and business trips.",Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,8,0,"Positive indicators: comfortable, clean, good",Cleanliness; Facilities; Comfort/Noise,No major risk detected,General traveller suitability,No major improvement issue detected
120,"In a convenient location, you can go anywhere in the city easily, and it's also direct access from the airport. There are many local eateries nearby where you can eat at reasonable prices. The rooms are simple yet clean, and the facilities are fully functional. The view from the higher floors is very nice. They also respond quickly to requests.",Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,8,0,"Positive indicators: convenient, clean, nice",Location; Cleanliness,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
121,"recommended to stay with good facility transportation, food and interactive location",Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,6,0,"Positive indicators: recommended, good",Location; Facilities; Breakfast/Food,Facility/Maintenance Risk,General traveller suitability,Improve room facilities and maintenance
122,Nice and comfortable,Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,5,0,"Positive indicators: comfortable, nice",Comfort/Noise,No major risk detected,General traveller suitability,No major improvement issue detected
123,"If you need wifi, do not stay here, it is pretty much non-existent. Apart from that, good location but there are other options.",Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,5,0,"Positive indicators: good location, good",Location; Facilities,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
124,"KL Sentral just walking distance, but nearby Hotel not easy to get chinese food mostly Mama Resturance around",Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,7.05,0,"Positive indicators: walking distance, easy to get",Location; Breakfast/Food,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
125,Hotel is a budget one and good if you are mostly staying outside. They upgraded me proactively which was pleasing and they were flexible with the check in and check out time with some additional payment. Location is close to NU Sentral Mall and good I dian eateries around.,Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,6,0,"Positive indicators: close to, good",Location; Service,Service Risk,Suitable for convenience-focused travellers,Improve front desk/staff service training
126,BREAKFAST NO GOOD ROOM NO CLEAN LOCATION GOOD.,Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,7,0,"Positive indicators: clean, good",Location; Cleanliness; Breakfast/Food,No major risk detected,General traveller suitability,No major improvement issue detected
127,murah bersih berbaloi byk kedai mkn nearby central,Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,9,0,"Positive indicators: berbaloi, bersih, murah",General,No major risk detected,General traveller suitability,No major improvement issue detected
128,Very convenient place to stay and move around,Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,7,0,"Positive indicators: very convenient, convenient",General,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
129,Very good and convenient place,Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,5,0,"Positive indicators: convenient, good",General,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
130,Good and convenient to move around,Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,5,0,"Positive indicators: convenient, good",General,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
131,All the staff are friendly.,Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,6,0,"Positive indicators: staff are friendly, friendly",Service,No major risk detected,General traveller suitability,No major improvement issue detected
132,Clean n cheap near all facilities . Good central location with many choices of good food nearby,Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,9,0,"Positive indicators: clean, cheap, good",Location; Cleanliness; Breakfast/Food,No major risk detected,General traveller suitability,No major improvement issue detected
133,"Cheap, affordable and very strategic place..",Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,5,0,"Positive indicators: affordable, cheap",General,No major risk detected,General traveller suitability,No major improvement issue detected
134,Pleasent stay and friendly staff,Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,6,0,"Positive indicators: friendly staff, friendly",Service,No major risk detected,General traveller suitability,No major improvement issue detected
135,"The hotel isn't as good as I thought it was after seeing the pictures. The staff are very polite and helpful. However, the bed is short and unsuitable for people over 165 cm tall. Overall, it's good for those who want to stay for a day or two.",Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,9.7,0,"Positive indicators: helpful, polite, good",Service; Comfort/Noise,No major risk detected,General traveller suitability,No major improvement issue detected
136,"Prime location, value for money, best for solo travellers and who prefer KL metro trains for travel around city. Room cleanliness could have been better",Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,12,0,"Positive indicators: value for money, prime location, best",Location; Cleanliness,Cleanliness Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
137,"Highly Recommended! This is my 4th time staying here for a holiday. The location is incredibly strategic—close to restaurants, laundromats, and major public transport hubs including the KTM, monorail, buses, taxis, and Grab. It’s also perfect for shopping as Nu Sentral is just nearby.",Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,11,0,"Positive indicators: recommended, close to, perfect",Location,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
138,Location and value for money - excellent. Need to endure a bit of nosiness from hotel surroundings and from air-cond and air ventilator in toilet. Could be trouble for those who are sensitive to noise like me. Sound proofing is not satisfactory. Staff is in general kind. Change room for me due to some issue with room. Appreciate that.,Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,9,2,"Positive indicators: value for money, excellent; minor issue(s): noise",Location; Service; Comfort/Noise,Noise Risk; Facility/Maintenance Risk,Not suitable for light sleepers,Improve soundproofing / noise control; Improve room facilities and maintenance
139,Clean and spacious. Good value for money,Positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",High,12,0,"Positive indicators: value for money, spacious, clean",Cleanliness,No major risk detected,General traveller suitability,No major improvement issue detected
140,"Chose Platinum Deface 2, as you will get Petronas tower view. Platinum 1 doesn't give the complete view.",Neutral,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",Low,0,0,Mixed/acceptable wording,Location,No major risk detected,General traveller suitability,No major improvement issue detected
141,This hotel scammed us they never mentioned any deposits first then when checking in they did not accept any card payment so we were unable to check in after 4 hours of frustration neither refunded or cancelled remaining booking which was a 3 night booking with full payment,Neutral,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",Low,0,0,Mixed/acceptable wording,Service,Service Risk,General traveller suitability,Improve front desk/staff service training
142,Sengnaja mencari kesalahaan untuk mencuri wang deposit pelanggan.,Neutral,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",Low,0,0,Mixed/acceptable wording,Service,Service Risk,General traveller suitability,Improve front desk/staff service training
143,Never prefer the property,Neutral,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",Low,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
144,Please do not stay here. Bagi bilik TV rosak. 2 jam tunggu dari 11 malam untill 1 pagi still tak ok. Minta refund tak Nak bg. Last dapat tukar bilik jam 2 pagi. Deposit Rm300 staff inform refund dalam 24 hours tapi tak dapat refund! After 24jam call berkali kali no answer. After inform will report police then Baru dapat deposit.,Neutral,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",Low,0.5,0,Mixed/acceptable wording; positive: ok,Service; Facilities,Facility/Maintenance Risk; Service Risk,General traveller suitability,Improve room facilities and maintenance; Improve front desk/staff service training
145,THEY TOOK ADDITIONAL DEPOSIT RM 300 AND NOW ALREADY 12 DAYS SAID WILL REFUND THE DEPOSIT TO MY BANK ACCOUNT AND NEVER DID!!!! PLEASE BEWARE!!!!!!,Neutral,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",Low,0,0,Mixed/acceptable wording,Service,Service Risk,General traveller suitability,Improve front desk/staff service training
146,The necklace from my girlfriend was stolen. My girlfriend showed me her necklace in the morning and I told her that it doesn’t fit to her outfit. She left it on the table and we left the room. Few hours later when we returned back to the room the necklace were gone. We contacted directly the manager and she told us that she can’t do anything. No apology from their side or any help. They also didn’t provide any safes. Also the reception not very friendly from the beginning on. Not very accommodating or solution oriented with customer inquiries. Would not recommend it and book instead another place there.,Neutral,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",Low,8,8,"Mixed/acceptable wording; positive: accommodating, recommend; negative: would not recommend, not recommend",Service,Service Risk,General traveller suitability,Improve front desk/staff service training
147,"No flexible arrangement for customer’s needs. Patient is going to check up at Hospital KL at 9am, but not willing to excuse for late check out later after the check up. No warm and friendly services, all services seems very strict! !",Neutral,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",Low,2.7,3,Mixed/acceptable wording; positive: friendly; negative: no flexible,Service,No major risk detected,General traveller suitability,No major improvement issue detected
148,I booking family room 3 bedroom. Staf said that room cannot smoking room but when i enter that room the whole room smelled of cigarette and when i checkout the stay ask me to pay 200 because that smell.,Neutral,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",Low,0,0,Mixed/acceptable wording,Cleanliness,Cleanliness Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
149,If some customer want to rent this pls concern a lot. You must to have a checklist room when customer check-in and your employee go to check together because when have something wrong you will charge from customer. And then that is occur to our that look like scammer because we don’t know about check when we arrived. And something wrong in room don’t have convincing evidence and we can’t go to see it. have a ink on blanket and definitely we haven’t pen or something included ink.,Neutral,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",Low,0,0,Mixed/acceptable wording,Service,Service Risk,General traveller suitability,Improve front desk/staff service training
150,Agooda not good and lie because when reach hotel not found deface platinum suits but I founded residence & no clean please no body book by a gooda,Neutral,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",Low,6.05,6,"Mixed/acceptable wording; positive: good, clean; negative: not good",Cleanliness,No major risk detected,General traveller suitability,No major improvement issue detected
151,"Careful with this hotel. Hotel own by individual owner not managed by hotel operator. Require deposit during check in. During check out, their staff will check the room, any damage or missing item will be charge full deposit. During check in there are 2 towels provided but during check out the management tey to impose me and inform their place 4 towels in the room. Lucky i have a phote taken during check in to prove that the towel only have 2. Careful all.....better find another hotel....",Neutral,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",Low,0,0,Mixed/acceptable wording,Cleanliness; Service,Cleanliness Risk; Service Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness; Improve front desk/staff service training"
152,"The free parking system here is a complete mess. While getting in is fine, trying to exit is a nightmare. Security wrongly accused us of misusing the parking, and we were forced to pay a $100 deposit just to leave. We were told the deposit would only be refunded a week later after their ""investigation."" To make matters worse, the same issue happened again the very next day. Nothing had been resolved. This process is unprofessional and extremely inconvenient. It feels like guests are being punished for a system error that clearly hasn't been addressed.",Neutral,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",Medium,1,0,Mixed/acceptable wording; positive: fine,Service; Parking,Parking Risk; Service Risk,General traveller suitability,Improve parking information or parking availability; Improve front desk/staff service training
153,"Bed was lousy, sleep with metal spring felt, outside sound is hearable into the room.",Neutral,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",Low,0,0,Mixed/acceptable wording,Comfort/Noise,No major risk detected,General traveller suitability,No major improvement issue detected
